id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_mcp_enabled_model_admin,mcp.enabled.model admin,model_mcp_enabled_model,mcp_server.group_mcp_admin,1,1,1,1
access_mcp_enabled_model_user,mcp.enabled.model user,model_mcp_enabled_model,mcp_server.group_mcp_user,1,0,0,0
access_res_config_settings_mcp_admin,res.config.settings mcp admin,base.model_res_config_settings,mcp_server.group_mcp_admin,1,1,1,0
access_ir_model_mcp_admin,ir.model mcp admin,base.model_ir_model,mcp_server.group_mcp_admin,1,0,0,0
access_ir_model_mcp_user,ir.model mcp user,base.model_ir_model,mcp_server.group_mcp_user,1,0,0,0
access_mcp_model_selection_wizard_admin,mcp.model.selection.wizard admin,model_mcp_model_selection_wizard,mcp_server.group_mcp_admin,1,1,1,1
access_res_users_apikeys_mcp_admin,res.users.apikeys mcp admin,base.model_res_users_apikeys,mcp_server.group_mcp_admin,1,1,1,1
access_res_users_apikeys_mcp_user,res.users.apikeys mcp user,base.model_res_users_apikeys,mcp_server.group_mcp_user,1,0,0,0
access_mcp_log_admin,mcp.log admin,model_mcp_log,mcp_server.group_mcp_admin,1,1,1,1
access_mcp_log_user,mcp.log user,model_mcp_log,mcp_server.group_mcp_user,1,0,0,0